IATA,Centro,Nave,Tipo de Almacenamiento,Posicion,Tipo de Posicion,Division Horizontal,Piso,Pasillo,Columna,Altura,Largo,Alto,Ancho,Peso
RDI,A048,CD SARANDI NAVE 1,General,RAE020.10A,Rack,1,1,RAE,020,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE018.10A,Rack,1,1,RAE,018,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE016.10A,Rack,1,1,RAE,016,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE014.10A,Rack,1,1,RAE,014,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE012.10A,Rack,1,1,RAE,012,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE010.10A,Rack,1,1,RAE,010,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE008.10A,Rack,1,1,RAE,008,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE006.10A,Rack,1,1,RAE,006,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE004.10A,Rack,1,1,RAE,004,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAE002.10A,Rack,1,1,RAE,002,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF045.10A,Rack,1,1,RAF,045,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF043.10A,Rack,1,1,RAF,043,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF041.10A,Rack,1,1,RAF,041,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF039.10A,Rack,1,1,RAF,039,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF037.10A,Rack,1,1,RAF,037,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF035.10A,Rack,1,1,RAF,035,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF033.10A,Rack,1,1,RAF,033,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF031.10A,Rack,1,1,RAF,031,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF029.10A,Rack,1,1,RAF,029,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF027.10A,Rack,1,1,RAF,027,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF025.10A,Rack,1,1,RAF,025,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF023.10A,Rack,1,1,RAF,023,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF021.10A,Rack,1,1,RAF,021,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF019.10A,Rack,1,1,RAF,019,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF017.10A,Rack,1,1,RAF,017,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF015.10A,Rack,1,1,RAF,015,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF013.10A,Rack,1,1,RAF,013,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF011.10A,Rack,1,1,RAF,011,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF009.10A,Rack,1,1,RAF,009,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF007.10A,Rack,1,1,RAF,007,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF003.10A,Rack,1,1,RAF,003,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF001.10A,Rack,1,1,RAF,001,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF044.10A,Rack,1,1,RAF,044,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF042.10A,Rack,1,1,RAF,042,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF040.10A,Rack,1,1,RAF,040,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF038.10A,Rack,1,1,RAF,038,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF036.10A,Rack,1,1,RAF,036,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF034.10A,Rack,1,1,RAF,034,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF032.10A,Rack,1,1,RAF,032,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF030.10A,Rack,1,1,RAF,030,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF028.10A,Rack,1,1,RAF,028,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF026.10A,Rack,1,1,RAF,026,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF024.10A,Rack,1,1,RAF,024,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF022.10A,Rack,1,1,RAF,022,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF020.10A,Rack,1,1,RAF,020,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF018.10A,Rack,1,1,RAF,018,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF016.10A,Rack,1,1,RAF,016,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF014.10A,Rack,1,1,RAF,014,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF012.10A,Rack,1,1,RAF,012,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF010.10A,Rack,1,1,RAF,010,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF008.10A,Rack,1,1,RAF,008,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF006.10A,Rack,1,1,RAF,006,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF004.10A,Rack,1,1,RAF,004,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAF002.10A,Rack,1,1,RAF,002,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAG045.10A,Rack,1,1,RAG,045,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAG043.10A,Rack,1,1,RAG,043,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAG041.10A,Rack,1,1,RAG,041,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAG039.10A,Rack,1,1,RAG,039,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAG037.10A,Rack,1,1,RAG,037,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAG035.10A,Rack,1,1,RAG,035,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAG033.10A,Rack,1,1,RAG,033,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAG031.10A,Rack,1,1,RAG,031,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAG029.10A,Rack,1,1,RAG,029,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAG027.10A,Rack,1,1,RAG,027,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAG025.10A,Rack,1,1,RAG,025,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAG023.10A,Rack,1,1,RAG,023,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAG021.10A,Rack,1,1,RAG,021,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAG019.10A,Rack,1,1,RAG,019,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAG017.10A,Rack,1,1,RAG,017,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAG015.10A,Rack,1,1,RAG,015,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAG013.10A,Rack,1,1,RAG,013,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAG011.10A,Rack,1,1,RAG,011,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAG009.10A,Rack,1,1,RAG,009,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAG007.10A,Rack,1,1,RAG,007,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAG003.10A,Rack,1,1,RAG,003,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAG001.10A,Rack,1,1,RAG,001,10,100,180,120,1050
