SUCURSAL;ACTIVIDAD;MTS2;FTE;TIENE MTS2;TIENE FTE;ESTADO / INCONSISTENCIA
MDQ;RENDICION SP;;0,4;NO;SI;FTE sin MTS2
MDQ;TRONCAL TERRESTRE DI;;0,8;NO;SI;FTE sin MTS2
MDQ;DISTRIBUCION SP;1200;;SI;NO;MTS2 sin FTE
MDQ;FLOTA PROPIA CAMIONETA;;1;NO;SI;OK - Sin mts2
MDQ;ADMINISTRACION OP DI;3340;1;SI;SI;OK - Tiene MTS2 y FTE
MDQ;ADMISION DI;3508;0,6;SI;SI;OK - Tiene MTS2 y FTE
MDQ;CLASIFICACION DI;15292;1,25;SI;SI;OK - Tiene MTS2 y FTE
MDQ;DISTRIBUCION DI;8644;6,33;SI;SI;OK - Tiene MTS2 y FTE
MDZ;COMERCIALES;;1;NO;SI;FTE sin MTS2
MDZ;MAILROOM SE;;1;NO;SI;FTE sin MTS2
MDZ;PICKING AG;;0,2;NO;SI;FTE sin MTS2
MDZ;RENDICION SP;;0,3;NO;SI;FTE sin MTS2
MDZ;TRONCAL AEREO DI;;0,2;NO;SI;FTE sin MTS2
MDZ;ALMACENAMIENTO AG;10368;;SI;NO;MTS2 sin FTE
MDZ;DISTRIBUCION SP;616;;SI;NO;MTS2 sin FTE
MDZ;FLOTA PROPIA CAMIONETA;;2;NO;SI;OK - Sin mts2
MDZ;FLOTA PROPIA MOTO;;2;NO;SI;OK - Sin mts2
MDZ;ADMINISTRACION OP DI;7192;2,1;SI;SI;OK - Tiene MTS2 y FTE
MDZ;ADMISION DI;4220;2,1;SI;SI;OK - Tiene MTS2 y FTE
MDZ;CLASIFICACION DI;20280;2,2;SI;SI;OK - Tiene MTS2 y FTE
MDZ;DISTRIBUCION DI;33192;8,3;SI;SI;OK - Tiene MTS2 y FTE
MDZ;RENDICION DI;3592;0,1;SI;SI;OK - Tiene MTS2 y FTE
MDZ;TRONCAL TERRESTRE DI;6888;0,4;SI;SI;OK - Tiene MTS2 y FTE
MNR;CONSULTORIA SE;;7;NO;SI;FTE sin MTS2
MV2;CALIDAD Y DIR TECNICA;;1;NO;SI;FTE sin MTS2
MV2;CALIDAD Y DIR TECNICA GLOBAL;;2;NO;SI;FTE sin MTS2
MV2;FULLFILMENT SE;;3;NO;SI;FTE sin MTS2
MV2;INPLANT RECURSOS HUMANOS;;1;NO;SI;FTE sin MTS2
MV2;MANTENIMIENTO;;6,62;NO;SI;FTE sin MTS2
MV2;NACIONALIZACIONES LYTESA SE;;1;NO;SI;FTE sin MTS2
MV2;PROGRAMACION DI;;0,3;NO;SI;FTE sin MTS2
MV2;SEGURIDAD E HIGIENE;;0,13;NO;SI;FTE sin MTS2
MV2;ESPACIOS CEDIDOS SE;12739,63;;SI;NO;MTS2 sin FTE
MV2;RRHH;172,8;;SI;NO;MTS2 sin FTE
MV2;ADMINISTRACION OP AG;13285,2;6,3;SI;SI;OK - Tiene MTS2 y FTE
MV2;ADMINISTRACION OP AS;10272;6,4;SI;SI;OK - Tiene MTS2 y FTE
MV2;ADMINISTRACION OP DI;1602,72;3,9;SI;SI;OK - Tiene MTS2 y FTE
MV2;ADMISION DI;6678;0,5;SI;SI;OK - Tiene MTS2 y FTE
MV2;ALMACENAMIENTO AG;668544;33,08;SI;SI;OK - Tiene MTS2 y FTE
MV2;ALMACENAMIENTO AS;169584;2;SI;SI;OK - Tiene MTS2 y FTE
MV2;CLASIFICACION DI;20539,2;3,7;SI;SI;OK - Tiene MTS2 y FTE
MV2;CONSULTORIA SE;21091,2;29;SI;SI;OK - Tiene MTS2 y FTE
MV2;DISTRIBUCION DI;50970,72;14,14;SI;SI;OK - Tiene MTS2 y FTE
MV2;EMBALAJE SE;27825,6;7;SI;SI;OK - Tiene MTS2 y FTE
MV2;IMPOSICION DI;14424,48;3,6;SI;SI;OK - Tiene MTS2 y FTE
MV2;INGRESO AG;60751,2;3,25;SI;SI;OK - Tiene MTS2 y FTE
MV2;INGRESO AS;47424;1,4;SI;SI;OK - Tiene MTS2 y FTE
MV2;PICKING AG;59772;8,2;SI;SI;OK - Tiene MTS2 y FTE
MV2;PICKING AS;7104;9,1;SI;SI;OK - Tiene MTS2 y FTE
MV2;RENDICION DI;4006,8;0,5;SI;SI;OK - Tiene MTS2 y FTE
MV2;TRONCAL TERRESTRE DI;8144,4;0,2;SI;SI;OK - Tiene MTS2 y FTE
